Cherenkov Firing Summary

====================================


===== e⁺ (mass = 0.000511 GeV) =====

E= 30.00 GeV | β=0.99949 | γ=31.322 | p=29.985 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 40.00 GeV | β=0.99971 | γ=41.763 | p=39.989 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 60.00 GeV | β=0.99987 | γ=62.645 | p=59.992 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 80.00 GeV | β=0.99993 | γ=83.526 | p=79.994 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E=100.00 GeV | β=0.99995 | γ=104.408 | p=99.995 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E=120.00 GeV | β=0.99997 | γ=125.290 | p=119.996 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: FIRE
E=160.00 GeV | β=0.99998 | γ=167.053 | p=159.997 GeV | 0.3bar: NO, 0.6bar: FIRE, 1.0bar: FIRE

===== ρ (mass = 0.775260 GeV) =====

E=  5.00 GeV | β=0.98791 | γ=6.449 | p=4.940 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 10.00 GeV | β=0.99699 | γ=12.899 | p=9.970 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 20.00 GeV | β=0.99925 | γ=25.798 | p=19.985 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 30.00 GeV | β=0.99967 | γ=38.697 | p=29.990 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 40.00 GeV | β=0.99981 | γ=51.596 | p=39.992 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 60.00 GeV | β=0.99992 | γ=77.393 | p=59.995 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 80.00 GeV | β=0.99995 | γ=103.191 | p=79.996 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E=100.00 GeV | β=0.99997 | γ=128.989 | p=99.997 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: FIRE
E=120.00 GeV | β=0.99998 | γ=154.787 | p=119.997 GeV | 0.3bar: NO, 0.6bar: FIRE, 1.0bar: FIRE
E=160.00 GeV | β=0.99999 | γ=206.382 | p=159.998 GeV | 0.3bar: NO, 0.6bar: FIRE, 1.0bar: FIRE

===== ω (mass = 0.782650 GeV) =====

E=  5.00 GeV | β=0.98767 | γ=6.389 | p=4.938 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 10.00 GeV | β=0.99693 | γ=12.777 | p=9.969 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 20.00 GeV | β=0.99923 | γ=25.554 | p=19.985 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 30.00 GeV | β=0.99966 | γ=38.331 | p=29.990 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 40.00 GeV | β=0.99981 | γ=51.108 | p=39.992 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
E= 60.00 GeV | β=0.99991 | γ=76.663 | p=59.995 GeV | 0.3bar: NO, 0.6bar: NO, 1.0bar: NO
